Player,Pos,Squad,Comp,npxG,-9999
Grejohn Kyei,FW,Clermont Foot,fr Ligue 1,1.6,397ba086
Pierre Lees-Melou,MF,Norwich City,eng Premier League,1.6,f5044e54
Florian Lejeune,DF,Alavés,es La Liga,1.6,6eaed4eb
Matthijs de Ligt,DF,Juventus,it Serie A,1.6,d6e53a3a
Anthony Losilla,MF,Bochum,de Bundesliga,1.6,07c7eb0c
Orel Mangala,MF,Stuttgart,de Bundesliga,1.6,a572e291
Pape Matar Sarr,MF,Metz,fr Ligue 1,1.6,feb5d972
Sven Michel,FW,Union Berlin,de Bundesliga,1.6,1e274a0a
Aleksei Miranchuk,MFFW,Atalanta,it Serie A,1.6,a9aa0d1d
Divock Origi,FW,Liverpool,eng Premier League,1.6,43a166b4
Alfonso Pedraza,DF,Villarreal,es La Liga,1.6,63f04c6c
Andrea Petagna,FW,Napoli,it Serie A,1.6,03f946ed
Krzysztof Piątek,FW,Hertha BSC,de Bundesliga,1.6,17f3620a
Sergio Ramos,DF,Paris S-G,fr Ligue 1,1.6,08511d65
Sergi Roberto,MFDF,Barcelona,es La Liga,1.6,335fa267
Marten de Roon,MFDF,Atalanta,it Serie A,1.6,2a1beb34
Fabián Ruiz Peña,MF,Napoli,it Serie A,1.6,c0c7ff58
Julian Ryerson,DF,Union Berlin,de Bundesliga,1.6,009a4f60
Eddie Salcedo,MFFW,Spezia,it Serie A,1.6,0489bb30
Baptiste Santamaria,MFDF,Rennes,fr Ligue 1,1.6,5e22e2a4
Kevin Stöger,MFFW,Mainz 05,de Bundesliga,1.6,e5649a78
Timothy Tillman,MF,Greuther Fürth,de Bundesliga,1.6,a5bea1fb
Akim Zedadka,DF,Clermont Foot,fr Ligue 1,1.6,0ff630d0
Arber Zeneli,FW,Reims,fr Ligue 1,1.6,095e4199
Maximilian Arnold,MF,Wolfsburg,de Bundesliga,1.5,86e119e0
Iddrisu Baba,MF,Mallorca,es La Liga,1.5,bfd381b3
Benoît Badiashile,DF,Monaco,fr Ligue 1,1.5,06df8256
Stefan Bell,DF,Mainz 05,de Bundesliga,1.5,857a5abe
Jean-Paul Boëtius,MF,Mainz 05,de Bundesliga,1.5,635f2732
Ryad Boudebouz,MFFW,Saint-Étienne,fr Ligue 1,1.5,1001ae82
Farid Boulaya,MFFW,Metz,fr Ligue 1,1.5,a0791826
Brendan Chardonnet,DF,Brest,fr Ligue 1,1.5,16aa7d4c
Jason Denayer,DF,Lyon,fr Ligue 1,1.5,47af88b8
Sergiño Dest,DFFW,Barcelona,es La Liga,1.5,5976f83e
Moussa Djenepo,MF,Southampton,eng Premier League,1.5,254147d4
Cheick Doucouré,MF,Lens,fr Ligue 1,1.5,ce4f40c7
